ID,Question,Traduction,Score,Alexandre *,Diego *,Notes,Category,Mood,Mood feedback Alexandre,Difficulty,Tags,Alexandre's View,Notes
0,A quoi ressemble ta soirée idéale ?,What does your ideal evening look like?,6,3,3,,Perso - Easy,Uplifting,Uplifting,1 - simple,,,
1,A quoi ressemble un jour parfait pour toi ?,What does a perfect day look like for you?,6,3,3,,Perso - Easy,Uplifting,Uplifting,1 - simple,,"marche bien, vraiment des cutes memories",
2,Qu'est ce qui t'emerveille dans le monde naturel ?,What brings you most a sense of wonder in the natural world?,6,3,3,,Regard sur le monde,Uplifting,Uplifting,1 - simple,,,
3,Qu'est ce qui te motive à faire ce que tu fais?,What motivates you to do what you do?,6,3,3,,Perso - Easy,Uplifting,Uplifting,1 - simple,Too broad,,
4,Qu'est-ce qui te met en colère ?,What makes you angry?,6,3,3,doublon,Perso - Easy,Vulnerable,Vulnerable,1 - simple,,,
5,"Quel achat te procure encore du bonheur, longtemps après que la nouveauté soit passée ?","What product still gives you happiness, long after the feeling of novelty has passed?",6,3,3,,Perso - Easy,Uplifting,Uplifting,1 - simple,,,
6,Quel est un de tes rêves ?,What is one of your dreams?,6,3,3,,Perso - Easy,Uplifting,Uplifting,1 - simple,,Can be interpreted both ways: dream at night / dream goals,
7,Quel est un fait surprenant de votre domaine d'expertise ?,What is something surprinsing in your field of expertise?,6,3,3,,About the world,Debate,Debate,1 - simple,,,
8,"Quel livre, podcast ou film recommandes-tu sans retenue ?","What book, podcast or movie do you recommend without restraint?",6,3,3,,Regard sur le monde,Uplifting,Uplifting,1 - simple,,"Tester sur bumble, marche vraiment bien (n=1).

Le cout de reflexion est assez faible, beaucoup d’idée arrivent naturellement. (testé après fusion avec la question “t’as transformé”)

[Quel livre, podcast ou film t'a beaucoup transformé.e ?](https://www.notion.so/Quel-livre-podcast-ou-film-t-a-beaucoup-transform-e-c851386d01a444f8a7c09a438eea1957)

Une bonne manière de faire parler les gens d’eux sans qu’ils aient l’impression de parler d’eux",
9,"Quel livre, podcast ou film t'a beaucoup transformé.e ?","What book, podcast or movie had a major impact on you?",6,3,3,,Perso - Easy,Uplifting,Uplifting,1 - simple,,,
10,Quelle est une cause qui te tient à cœur et pourquoi ?,What is a cause close to your heart and why?,6,3,3,,Regard sur le monde,Debate,Debate,1 - simple,,,
11,Quels sont les qualités que te trouvent tes amis ?,What qualities do your friends find in you?,6,3,3,,Perso - Easy,Vulnerable,Vulnerable,1 - simple,,,
12,"Si tu pouvais changer une chose instantanément, qu'est-ce qui te rendrait heureux.se ? ","If you could change one thing instantly, what would make you happy?",6,3,3,,Perso - Easy,Uplifting,Uplifting,1 - simple,,,
13,Comment fais-tu pour lacher prise et oublier un instant tes responsabilités ?,How do you manage to let go and forget your responsibilities for a moment?,6,3,3,,Perso - Easy,Uplifting,Uplifting,2 - medium,Potential clueless,Bif bof,
14,Comment tes amis te décrivent ?,How do your friends describe you?,6,3,3,,Perso - Hard,Vulnerable,Vulnerable,2 - medium,,"Doublon partiel avec [Quels sont les qualités que te trouvent tes parents ? (amis ?)]

Test fait, quand même assez dur à faire surtout quand tes amis sont en face : tu parles de trucs qui se passe dans la tête de la / des personnes en face et qui te concerne mais c’est eux qui ont un peu le dernier mot",
15,De quoi es-tu très reconnaissant envers tes parents ?,What are you very grateful to your parents for?,6,3,3,,Perso - Easy,Uplifting,Uplifting,2 - medium,,,
16,Doit-on bloquer des routes pour forcer les politiques à agir sur le climat ?,Should we block roads to force politicians to act for the climate?,6,3,3,,Regard sur le monde,Debate,Debate,2 - medium,,,
